Longitude,Latitude,Start Year
157.95,-9.02,1986
96.329,4.914,1986
-129.58,46.52,1986
-177.188,-25.887,1986
178.478,-35.745,1986
160.642,56.056,1986
123.132,10.412,1986
123.258,-8.342,1986
155.565,50.861,1986
-140.25,-28.98,1986
-169.944,52.825,1986
-161.894,55.417,1986
161.36,56.653,1986
-153.43,59.363,1986
160.595,55.972,1986
124.792,1.358,1986
-163.97,54.756,1986
-165.986,54.134,1986
15.004,37.734,1986
-92.109,15.132,1986
175.57,-39.28,1986
177.18,-37.52,1986
-69.797,-33.425,1986
141.481,24.285,1986
15.004,37.734,1985
157.95,-9.02,1985
-85.622,11.538,1985
151.33,-5.05,1985
-88.269,13.434,1985
175.57,-39.28,1985
123.132,10.412,1985
129.714,29.638,1985
-85.324,10.83,1985
-75.324,4.892,1985
114.056,-8.119,1985
160.642,56.056,1985
119.07,-8.2,1985
-103.62,19.514,1985
-71.409,-16.294,1985
142.686,43.418,1985
55.708,-21.244,1985
160.595,55.972,1985
161.36,56.653,1985
175.57,-39.28,1985
124.737,1.112,1985
-78.598,-0.171,1985
-175.63,-15.6,1985
123.132,10.412,1985
15.004,37.734,1985
121.708,-8.32,1985
73.513,-53.106,1985
-148.821,-17.564,1985
-8.146,71.087,1985
151.33,-5.05,1984
-75.324,4.892,1984
-85.622,11.538,1984
-67.73,-23.37,1984
-159.38,56.17,1984
100.473,-0.381,1984
175.57,-39.28,1984
129.714,29.638,1984
123.685,13.257,1984
-16.25,65.75,1984
151.33,-5.05,1984
-71.93,-39.42,1984
158.03,52.559,1984
15.004,37.734,1984
-169.944,52.825,1984
168.12,-16.25,1984
165.8,-10.38,1984
124.737,1.112,1984
112.95,-7.942,1984
121.708,-8.32,1984
144.013,43.384,1984
15.004,37.734,1984
-71.729,-38.692,1984
131.104,32.884,1984
175.57,-39.28,1984
-85.324,10.83,1984
-91.55,-0.37,1984
-155.608,19.475,1984
161.36,56.653,1984
160.642,56.056,1984
140.933,26.06,1984
-174.775,-18.992,1984
29.2,-1.408,1984
160.595,55.972,1984
108.058,-7.25,1984
177.18,-37.52,1983
112.95,-7.942,1983
-148.821,-17.564,1983
55.708,-21.244,1983
-161.894,55.417,1983
